frame_idx,detections,persons,fps_inst
318,17,12,33.924
319,17,13,32.348
320,16,13,38.173
321,17,13,39.409
322,17,13,28.387
323,17,13,31.462
324,17,13,28.994
325,17,13,29.194
326,18,13,29.166
327,16,13,29.554
328,16,13,32.563
329,16,13,33.432
330,15,12,29.383
331,15,11,30.850
332,14,11,32.723
333,13,11,29.701
334,14,11,29.745
335,12,9,33.598
336,15,10,30.133
337,15,11,33.978
338,12,9,29.148
339,14,10,32.503
340,11,9,40.502
341,11,9,44.020
342,11,9,30.870
343,13,10,32.717
344,12,10,33.016
345,12,9,33.122
346,12,10,33.797
347,11,10,30.286
348,12,10,31.979
349,8,7,33.258
350,12,9,33.395
351,13,10,30.288
352,13,10,32.015
353,13,10,32.844
354,14,11,32.315
355,14,11,29.916
356,12,9,26.849
357,11,9,38.497
358,12,10,36.911
359,13,11,39.936
360,13,9,40.916
361,13,9,44.998
362,11,8,44.169
363,13,9,39.455
364,12,9,34.238
365,11,9,35.902
366,11,9,34.795
367,11,9,27.556
368,12,10,32.477
369,13,10,28.645
370,13,11,31.013
371,12,10,38.154
372,12,10,39.591
373,12,10,40.696
374,14,12,41.346
375,13,11,25.865
376,12,10,38.556
377,13,10,38.161
378,11,9,32.056
379,13,9,32.074
380,11,9,32.520
381,11,9,26.740
382,12,10,31.617
383,10,9,34.202
384,13,11,34.421
385,13,11,39.196
386,13,11,42.857
387,12,10,25.364
388,14,10,32.470
389,13,10,34.109
390,13,11,30.235
391,13,11,32.152
392,14,11,29.656
393,14,11,32.863
394,13,10,30.505
395,13,10,33.825
396,12,10,38.659
397,11,9,41.780
398,11,9,42.325
399,11,10,31.017
400,11,10,31.751
401,11,10,29.296
402,10,9,33.085
403,11,10,31.238
404,12,10,28.712
405,11,10,31.723
406,11,10,33.144
407,11,10,35.457
408,10,9,34.659
409,11,10,36.475
410,12,11,34.097
411,12,11,25.235
412,10,9,33.029
413,12,11,34.050
414,12,11,33.540
415,10,9,28.282
416,10,9,29.255
417,11,9,31.757
418,11,10,32.452
419,12,11,32.051
420,12,11,32.232
421,11,10,33.580
422,12,11,30.566
423,10,9,32.235
424,9,8,32.314
425,9,8,34.704
426,10,9,34.915
427,10,9,34.469
428,11,10,34.130
429,11,10,40.487
430,11,9,38.126
431,13,11,35.742
432,12,10,31.559
433,12,10,33.613
434,13,10,34.194
435,13,10,34.525
436,13,10,41.211
437,15,10,43.059
438,13,10,44.915
439,12,10,32.848
440,12,10,29.384
441,13,11,32.481
442,14,12,29.939
443,13,11,30.164
444,12,10,32.849
445,13,12,32.801
446,13,11,33.852
447,12,11,31.925
448,13,11,28.781
449,12,10,31.045
450,11,10,31.887
451,13,11,28.355
452,12,10,31.602
453,12,10,33.055
454,12,10,36.508
455,13,11,40.402
456,12,11,31.259
457,14,12,34.157
458,12,11,28.690
459,13,12,39.964
460,14,12,40.501
461,12,11,33.615
462,14,12,32.394
463,12,11,32.168
464,12,11,33.320
465,12,11,34.117
466,12,11,33.045
467,11,10,29.759
468,12,11,38.058
469,11,10,24.376
470,11,10,30.611
471,11,10,32.689
472,11,10,33.046
473,13,12,34.084
474,12,11,30.230
475,13,12,32.063
476,12,10,29.610
477,12,11,34.090
478,11,10,27.175
479,11,10,33.385
480,11,10,28.536
481,12,10,35.679
482,13,11,33.368
483,11,10,31.866
484,12,10,34.951
485,13,10,28.330
486,12,11,30.315
487,12,11,30.584
488,13,11,31.868
489,12,11,30.356
490,11,10,30.498
491,12,10,30.825
492,12,10,30.298
493,13,10,31.782
494,12,9,32.568
495,11,10,33.379
496,11,10,33.403
497,11,10,33.003
498,10,9,31.375
499,11,10,32.587
500,11,10,33.725
501,10,9,30.670
502,10,9,32.794
503,11,10,33.529
504,11,10,29.727
505,12,10,33.761
506,13,11,34.281
507,12,10,28.893
508,11,9,33.156
509,12,10,27.572
510,11,10,30.970
511,11,10,31.312
512,11,10,29.502
513,11,10,32.306
514,11,10,32.890
515,11,10,28.241
516,11,10,31.297
517,11,10,30.368
518,11,10,32.305
519,11,10,30.436
520,12,11,32.042
521,12,11,28.799
522,12,11,32.875
523,11,10,28.838
524,12,11,32.073
525,11,10,35.023
526,11,10,35.831
527,11,10,33.583
528,11,10,29.346
529,12,11,32.529
530,12,11,34.832
531,11,9,27.814
532,9,8,31.141
533,11,10,30.581
534,11,10,32.172
535,11,10,26.866
536,11,10,30.891
537,10,9,32.272
538,11,10,33.008
539,10,10,29.213
540,11,10,30.272
541,10,10,28.237
542,12,10,31.435
543,11,10,29.913
544,11,10,30.155
545,11,10,34.348
546,11,10,36.712
547,11,10,39.772
548,11,10,38.970
549,10,10,38.529
550,10,10,31.803
551,12,10,34.109
552,11,10,35.073
553,12,10,35.672
554,12,10,36.465
555,12,10,33.454
556,12,10,39.547
557,12,10,31.662
558,12,10,31.962
